USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|08001|0500000US08001|00198116|Adams County|3021997387|43544989|1166.8|16.813|39.874325|-104.331872
CO|08003|0500000US08003|00198117|Alamosa County|1871643029|1670455|722.645|0.645|37.568442|-105.788041
CO|08005|0500000US08005|00198118|Arapahoe County|2066516726|19791984|797.887|7.642|39.644554|-104.331706
CO|08007|0500000US08007|00198119|Archuleta County|3496713581|13738831|1350.089|5.305|37.202395|-107.050863
CO|08009|0500000US08009|00198120|Baca County|6617400569|6142192|2554.993|2.372|37.30978|-102.543741
CO|08011|0500000US08011|00198121|Bent County|3918255143|73141519|1512.847|28.24|37.931891|-103.077584
CO|08013|0500000US08013|00198122|Boulder County|1881409373|36403508|726.416|14.055|40.094971|-105.39771
CO|08014|0500000US08014|01945881|Broomfield County|85384996|1502572|32.967|0.58|39.953877|-105.050898
CO|08015|0500000US08015|00198123|Chaffee County|2624715688|3999975|1013.408|1.544|38.734599|-106.300025
CO|08017|0500000US08017|00198124|Cheyenne County|4605713958|8166129|1778.276|3.153|38.835646|-102.601791
CO|08019|0500000US08019|00198125|Clear Creek County|1023234147|3274806|395.073|1.264|39.689403|-105.670783
CO|08021|0500000US08021|00198126|Conejos County|3334418691|9235012|1287.426|3.566|37.213406|-106.176447
CO|08023|0500000US08023|00198127|Costilla County|3179452305|8828906|1227.593|3.409|37.277547|-105.42894
CO|08025|0500000US08025|00198128|Crowley County|2039427880|33422980|787.428|12.905|38.30618|-103.772736
CO|08027|0500000US08027|00198129|Custer County|1913031986|3364150|738.626|1.299|38.101996|-105.373512
CO|08029|0500000US08029|00198130|Delta County|2958093553|16784209|1142.126|6.48|38.861423|-107.865043
CO|08031|0500000US08031|00198131|Denver County|396460153|4275563|153.074|1.651|39.76185|-104.881105
CO|08033|0500000US08033|00198132|Dolores County|2763958502|2716141|1067.17|1.049|37.733823|-108.506219
CO|08035|0500000US08035|00198133|Douglas County|2177889327|6795841|840.888|2.624|39.325414|-104.925987
CO|08037|0500000US08037|00198134|Eagle County|4362757338|18967533|1684.47|7.323|39.626992|-106.695169
CO|08039|0500000US08039|00198136|Elbert County|4791700166|442147|1850.086|0.171|39.315157|-104.114076
CO|08041|0500000US08041|00198135|El Paso County|5507412948|7044326|2126.424|2.72|38.8311|-104.527681
CO|08043|0500000US08043|00198137|Fremont County|3972614690|2234517|1533.835|0.863|38.45517|-105.424958
CO|08045|0500000US08045|00198138|Garfield County|7633796653|21707241|2947.425|8.381|39.599352|-107.90978
CO|08047|0500000US08047|00198139|Gilpin County|388556762|942056|150.023|0.364|39.861156|-105.528878
CO|08049|0500000US08049|00198140|Grand County|4782625749|59537083|1846.582|22.987|40.113065|-106.110837
CO|08051|0500000US08051|00198141|Gunnison County|8389334149|53070998|3239.14|20.491|38.670499|-107.05688
CO|08053|0500000US08053|00198142|Hinsdale County|2893614474|15324685|1117.231|5.917|37.811519|-107.383974
CO|08055|0500000US08055|00198143|Huerfano County|4120756314|5792101|1591.033|2.236|37.687815|-104.959928
CO|08057|0500000US08057|00198144|Jackson County|4179530230|18750017|1613.726|7.239|40.663432|-106.329248
CO|08059|0500000US08059|00198145|Jefferson County|1979849267|24965560|764.424|9.639|39.579511|-105.245462
CO|08061|0500000US08061|00198146|Kiowa County|4578603586|47032918|1767.809|18.16|38.387663|-102.756849
CO|08063|0500000US08063|00198147|Kit Carson County|5596501952|2251929|2160.822|0.869|39.30534|-102.603023
CO|08065|0500000US08065|00198149|Lake County|976215871|18111565|376.919|6.993|39.205363|-106.350123
CO|08067|0500000US08067|00198148|La Plata County|4376255271|25642579|1689.682|9.901|37.287367|-107.839718
CO|08069|0500000US08069|00198150|Larimer County|6722949455|99049183|2595.745|38.243|40.658093|-105.486764
CO|08071|0500000US08071|00198151|Las Animas County|12361852635|6929970|4772.938|2.676|37.318831|-104.04411
CO|08073|0500000US08073|00198152|Lincoln County|6676289549|22780358|2577.73|8.796|38.99374|-103.507555
CO|08075|0500000US08075|00198153|Logan County|4761949509|16363553|1838.599|6.318|40.728091|-103.090464
CO|08077|0500000US08077|00198154|Mesa County|8621348059|31991713|3328.721|12.352|39.019524|-108.460571
CO|08079|0500000US08079|00198155|Mineral County|2268209075|5222161|875.76|2.016|37.549069|-107.003235
CO|08081|0500000US08081|00198156|Moffat County|12284943815|19803411|4743.244|7.646|40.610864|-108.217154
CO|08083|0500000US08083|00198157|Montezuma County|5255989973|27208195|2029.349|10.505|37.338025|-108.595786
CO|08085|0500000US08085|00198158|Montrose County|5804023563|4923260|2240.946|1.901|38.407507|-108.266282
CO|08087|0500000US08087|00198159|Morgan County|3316461692|34642895|1280.493|13.376|40.262085|-103.807235
CO|08089|0500000US08089|00198160|Otero County|3268424304|20092556|1261.946|7.758|37.88417|-103.72126
CO|08091|0500000US08091|00198161|Ouray County|1400332624|3986292|540.671|1.539|38.154731|-107.78848
CO|08093|0500000US08093|00198162|Park County|5681165600|43519329|2193.51|16.803|39.118914|-105.717648
CO|08095|0500000US08095|00198163|Phillips County|1781724974|301808|687.928|0.117|40.594712|-102.345105
CO|08097|0500000US08097|00198164|Pitkin County|2514104902|6472577|970.701|2.499|39.217541|-106.916162
CO|08099|0500000US08099|00198165|Prowers County|4243454843|15319854|1638.407|5.915|37.958443|-102.391754
CO|08101|0500000US08101|00198166|Pueblo County|6181140047|29044037|2386.552|11.214|38.162765|-104.484668
CO|08103|0500000US08103|00198167|Rio Blanco County|8342275014|4868111|3220.971|1.88|39.972622|-108.200716
CO|08105|0500000US08105|00198168|Rio Grande County|2361956077|984295|911.956|0.38|37.485853|-106.453128
CO|08107|0500000US08107|00198169|Routt County|6117602806|15831744|2362.02|6.113|40.483664|-106.987702
CO|08109|0500000US08109|00198170|Saguache County|8206547698|4454510|3168.566|1.72|38.031651|-106.234666
CO|08111|0500000US08111|00198171|San Juan County|1003660670|2035929|387.516|0.786|37.781049|-107.670257
CO|08113|0500000US08113|00198172|San Miguel County|3332602593|5207582|1286.725|2.011|38.009319|-108.427263
CO|08115|0500000US08115|00198173|Sedgwick County|1419419024|3530746|548.041|1.363|40.871568|-102.355358
CO|08117|0500000US08117|00198174|Summit County|1575563230|28310936|608.328|10.931|39.621023|-106.137555
